STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,D,18,SNOW DP,,20190319,96,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190321,96,,INCHES
DAN,D,18,SNOW DP,,20190322,96,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190324,101,,INCHES
DAN,D,18,SNOW DP,,20190325,98,,INCHES
DAN,D,18,SNOW DP,,20190326,96,,INCHES
DAN,D,18,SNOW DP,,20190327,94,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190329,103,,INCHES
DAN,D,18,SNOW DP,,20190330,102,,INCHES
DAN,D,18,SNOW DP,,20190331,100,,INCHES
DAN,D,18,SNOW DP,,20190401,96,,INCHES
DAN,D,18,SNOW DP,,20190402,96,,INCHES
DAN,D,18,SNOW DP,,20190403,99,,INCHES
DAN,D,18,SNOW DP,,20190404,95,,INCHES
DAN,D,18,SNOW DP,,20190405,95,,INCHES
DAN,D,18,SNOW DP,,20190406,94,,INCHES
DAN,D,18,SNOW DP,,20190407,95,,INCHES
DAN,D,18,SNOW DP,,20190408,92,,INCHES
DAN,D,18,SNOW DP,,20190409,90,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190411,89,,INCHES
DAN,D,18,SNOW DP,,20190412,89,,INCHES
DAN,D,18,SNOW DP,,20190413,89,,INCHES
DAN,D,18,SNOW DP,,20190414,87,,INCHES
DAN,D,18,SNOW DP,,20190415,86,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190417,88,,INCHES
DAN,D,18,SNOW DP,,20190418,87,,INCHES
DAN,D,18,SNOW DP,,20190419,84,,INCHES
DAN,D,18,SNOW DP,,20190420,82,,INCHES
DAN,D,18,SNOW DP,,20190421,81,,INCHES
DAN,D,18,SNOW DP,,20190422,80,,INCHES
DAN,D,18,SNOW DP,,20190423,78,,INCHES
DAN,D,18,SNOW DP,,20190424,76,,INCHES
DAN,D,18,SNOW DP,,20190425,73,,INCHES
DAN,D,18,SNOW DP,,20190426,71,,INCHES
DAN,D,18,SNOW DP,,20190427,69,,INCHES
DAN,D,18,SNOW DP,,20190428,67,,INCHES
DAN,D,18,SNOW DP,,20190429,65,,INCHES
DAN,D,18,SNOW DP,,20190430,63,,INCHES
DAN,D,18,SNOW DP,,20190501,63,,INCHES
DAN,D,18,SNOW DP,,20190502,61,,INCHES
DAN,D,18,SNOW DP,,20190503,58,,INCHES
DAN,D,18,SNOW DP,,20190504,58,,INCHES
DAN,D,18,SNOW DP,,20190505,56,,INCHES
DAN,D,18,SNOW DP,,20190506,56,,INCHES
DAN,D,18,SNOW DP,,20190507,52,,INCHES
DAN,D,18,SNOW DP,,20190508,52,,INCHES
DAN,D,18,SNOW DP,,20190509,50,,INCHES
DAN,D,18,SNOW DP,,20190510,51,,INCHES
DAN,D,18,SNOW DP,,20190511,49,,INCHES
