x,y,h_mean
705535.6421,5370978.327,761.2798446
708708.7771,5371540.154,543.5054359
705533.1111,5370998.205,760.2291106
708706.1778,5371560.023,544.3256513
705530.5891,5371018.084,759.3549474
705528.0707,5371037.963,758.3004842
708701.1331,5371599.778,541.7377118
705525.551,5371057.842,755.2376262
708698.6845,5371619.667,538.0964571
705523.0318,5371077.722,750.5976554
708696.2412,5371639.555,534.8296483
705520.5149,5371097.601,746.6264463
705518.5191,5371113.388,747.7261354
708693.7934,5371659.443,532.3191028
705516.627,5371128.358,750.727317
708691.3331,5371679.33,530.6825917
708688.8507,5371699.213,530.0156174
705513.1668,5371155.674,756.8530313
708686.34,5371719.093,529.6574381
705510.4489,5371177.12,759.0434558
708683.7872,5371738.967,529.3535568
705507.9296,5371196.999,759.3903276
708681.3656,5371757.545,529.2862279
705505.3988,5371216.877,758.9489536
708678.9022,5371776.307,530.0859225
705502.8496,5371236.752,758.0928551
708675.9635,5371798.567,531.5088878
705500.2749,5371256.624,757.1942883
708673.3426,5371818.433,532.0177183
705497.6781,5371276.493,756.268816
708670.7269,5371838.299,531.8371209
705495.0601,5371296.359,755.4069899
708668.1236,5371858.166,531.2288459
705492.4102,5371316.221,754.250239
708665.5432,5371878.037,530.2354688
705489.7123,5371336.077,752.5816561
708663.0114,5371897.664,529.9411633
705487.0004,5371355.931,751.2157141
708660.4352,5371917.644,530.2402687
705484.2971,5371375.785,750.0402747
708657.8539,5371937.655,531.0474907
705481.6172,5371395.643,748.6851659
708655.2912,5371957.528,531.821295
705478.9639,5371415.505,746.9336477
705476.3467,5371435.371,745.0096333
705473.8931,5371454.302,742.7599059
708647.988,5372014.074,531.231953
705471.3684,5371474.523,738.9153834
708645.3406,5372034.425,530.7423187
705468.8449,5371495.016,734.8653904
708642.413,5372056.883,530.2201781
705466.4095,5371514.907,731.2183555
708639.9219,5372076.034,529.3390063
708637.3157,5372096.124,527.9208785
705461.498,5371554.682,724.8460668
708634.6845,5372116.496,525.6504819
705459.0078,5371574.565,722.1668923
708632.1354,5372136.371,522.1876712
705456.4461,5371594.438,718.534933
708629.5969,5372156.246,518.4540828
705453.8033,5371614.301,715.1263126
708627.0582,5372176.123,517.4908516
705451.1023,5371634.157,711.8258606
708624.5751,5372195.464,518.4579528
705448.3745,5371654.008,707.2571287
708621.991,5372215.59,518.8747105
705445.6447,5371673.859,700.6945231
708619.3989,5372235.745,518.9302721
705442.9245,5371693.712,692.0557084
708616.8332,5372255.617,518.7226966
705440.2316,5371713.568,680.231659
708614.256,5372275.488,518.5746721
705437.579,5371733.43,668.2840853
708611.6546,5372295.356,518.7041803
