,time,distance,dh_fit_dx,gt,spot,w_surface_window_final,h_mean,dh_fit_dy,n_fit_photons,pflags,cycle,h_sigma,rgt,rms_misfit,delta_time,segment_id,doy,decyear,dowy,x,y,geometry
26266,2020-10-07T12:51:46.589001,5397551.92811919,-0.37905190479676154,50,1,9.685152104450925,765.5169793901445,0.0,27,0,9,0.18556720603297264,204,0.9352782223751098,87310306.58899936,269174,281,2020.766491682763,8,702860.4121434088,5373292.176172865,POINT (702860.4121434088 5373292.176172865)
26268,2020-10-07T12:51:46.591999,5397571.964615798,-0.31949876682418754,50,1,8.170140520339807,758.6050006705877,0.0,23,0,9,0.18481648934971065,204,0.7624472003049142,87310306.59181589,269175,281,2020.7664916828576,8,702857.8543638642,5373312.050760291,POINT (702857.8543638642 5373312.050760291)
26271,2020-10-07T12:51:46.595001,5397592.00111221,-0.11875532101703978,50,1,4.420096795181051,754.5249702801,0.0,18,0,9,0.12034433019761032,204,0.5105509257232949,87310306.59463839,269176,281,2020.7664916829526,8,702855.2656360224,5373331.921269339,POINT (702855.2656360224 5373331.921269339)
26274,2020-10-07T12:51:46.597000,5397612.037608424,-0.05710095838599294,50,1,3.0,752.7284474282746,0.0,13,0,9,0.1019814189609895,204,0.26531582286742883,87310306.59746616,269177,281,2020.7664916830158,8,702852.6422385877,5373351.787176546,POINT (702852.6422385877 5373351.787176546)
26287,2020-10-07T12:51:46.612000,5397712.220086554,-0.20712676191765222,50,1,5.317022042993465,727.7162857560597,0.0,30,0,9,0.10428036667155742,204,0.554911204990843,87310306.61160779,269182,281,2020.7664916834901,8,702839.327270462,5373451.090492926,POINT (702839.3272704619 5373451.090492926)
26290,2020-10-07T12:51:46.613998,5397732.25658159,-0.07639587916722235,50,1,4.3583006191397295,725.011789830043,0.0,12,0,9,0.13486586911858525,204,0.45183739060775685,87310306.61442985,269183,281,2020.7664916835533,8,702836.6754588259,5373470.952607015,POINT (702836.6754588259 5373470.952607015)
26293,2020-10-07T12:51:46.617001,5397752.29307643,-0.13439969036634114,50,1,4.025543435695683,723.0858432704381,0.0,10,0,9,0.12466368132438972,204,0.36657371107769976,87310306.6172463,269184,281,2020.7664916836484,8,702834.0467711698,5373490.817807711,POINT (702834.0467711698 5373490.817807711)
26296,2020-10-07T12:51:46.619999,5397772.329571075,-0.07619301945598966,50,1,3.0,720.461359392438,0.0,32,0,9,0.07349346796742251,204,0.30787490188581823,87310306.6200591,269185,281,2020.7664916837432,8,702831.4308966389,5373510.684690299,POINT (702831.4308966389 5373510.684690299)
26298,2020-10-07T12:51:46.623001,5397792.366065523,-0.031444036604579395,50,1,3.0,719.3024405381,0.0,54,0,9,0.03904767198757375,204,0.28690825749569226,87310306.62286994,269186,281,2020.766491683838,8,702828.8228699518,5373530.552635925,POINT (702828.8228699518 5373530.552635925)
26300,2020-10-07T12:51:46.625999,5397812.402559774,-0.05147294040341999,50,1,3.0,718.4299298075658,0.0,46,0,9,0.06329245178723071,204,0.39845963935131323,87310306.62567966,269187,281,2020.7664916839328,8,702826.2178476781,5373550.420952787,POINT (702826.2178476781 5373550.420952787)
26301,2020-10-07T12:51:46.626999,5395387.985330036,-0.2593763160772511,60,2,6.64231079110971,760.2538799942729,0.0,11,0,9,0.143858425501108,204,0.4127201387508358,87310306.62676117,269066,281,2020.7664916839644,8,703232.4885302432,5371158.42337006,POINT (703232.4885302432 5371158.42337006)
26303,2020-10-07T12:51:46.627998,5397832.439053829,-0.1381815529577668,50,1,3.5763097623333246,716.3178336233801,0.0,40,0,9,0.049697173055222914,204,0.3138126412307173,87310306.62848835,269188,281,2020.766491683996,8,702823.6138494965,5373570.289430087,POINT (702823.6138494965 5373570.289430087)
26304,2020-10-07T12:51:46.630001,5395408.021847845,-0.3116320034189961,60,2,7.970115004959528,754.4079594338908,0.0,10,0,9,0.22629476147537306,204,0.5132314273002873,87310306.62958442,269067,281,2020.7664916840595,8,703229.8511787127,5371178.287415789,POINT (703229.8511787127 5371178.287415789)
26306,2020-10-07T12:51:46.631001,5397852.475547688,-0.16765517409914388,50,1,4.318729018006678,713.310282777711,0.0,43,0,9,0.043387183744584605,204,0.28447821208572777,87310306.63129656,269189,281,2020.766491684091,8,702821.008495379,5373590.157728398,POINT (702821.008495379 5373590.157728398)
26309,2020-10-07T12:51:46.633999,5397872.512041351,-0.19558987571907327,50,1,5.024897956130623,709.5689821544214,0.0,32,0,9,0.05359214504160143,204,0.29527255247221995,87310306.63410588,269190,281,2020.766491684186,8,702818.3971488791,5373610.025234748,POINT (702818.3971488791 5373610.025234748)
26312,2020-10-07T12:51:46.637001,5397892.548534817,-0.17239008320449,50,1,4.43828537298956,705.7677010573616,0.0,50,0,9,0.053295388080183866,204,0.3074907034444281,87310306.63691725,269191,281,2020.7664916842807,8,702815.7797907756,5373629.891907319,POINT (702815.7797907756 5373629.891907319)
26314,2020-10-07T12:51:46.639999,5397912.585028087,-0.14918838725089567,50,1,3.8531485732769024,702.5766333438715,0.0,84,0,9,0.03178551279854461,204,0.2906329051430266,87310306.6397313,269192,281,2020.7664916843755,8,702813.151947339,5373649.757228625,POINT (702813.1519473389 5373649.757228625)
26316,2020-10-07T12:51:46.643002,5397932.62152116,-0.1438267496244443,50,1,3.7182233026751073,699.6205063081944,0.0,79,0,9,0.03085302612122691,204,0.26926661058986784,87310306.64254582,269193,281,2020.7664916844706,8,702810.5167109015,5373669.621554606,POINT (702810.5167109015 5373669.621554606)
26318,2020-10-07T12:51:46.645000,5397952.658014038,-0.1308726590379865,50,1,3.392828059715306,696.8799305594329,0.0,57,0,9,0.04456130997901117,204,0.326764812540312,87310306.64536048,269194,281,2020.7664916845338,8,702807.8734448268,5373689.4848192865,POINT (702807.8734448268 5373689.484819287)
26319,2020-10-07T12:51:46.647999,5397972.694506719,-0.24213817172069563,50,1,6.204737295928883,693.2361358279761,0.0,37,0,9,0.104722643613966,204,0.6294498591610824,87310306.64817438,269195,281,2020.7664916846286,8,702805.2250645921,5373709.347427905,POINT (702805.2250645921 5373709.347427905)
26321,2020-10-07T12:51:46.651001,5397992.730999203,-0.40439358772348877,50,1,10.330155974783239,687.2308261393957,0.0,42,0,9,0.09779647671543572,204,0.6144671791733788,87310306.65098663,269196,281,2020.7664916847234,8,702802.5745021296,5373729.209689757,POINT (702802.5745021296 5373729.209689757)
26324,2020-10-07T12:51:46.653999,5398012.767491492,-0.4460522573215697,50,1,11.390762361639041,678.7005199174216,0.0,40,0,9,0.10695481345341193,204,0.6310614789770752,87310306.65379655,269197,281,2020.7664916848182,8,702799.9215980773,5373749.07169039,POINT (702799.9215980773 5373749.07169039)
26325,2020-10-07T12:51:46.654999,5395588.350499298,-0.19924731889660663,60,2,5.117481996604475,720.5214586190323,0.0,10,0,9,0.15915665550483185,204,0.4697568412629101,87310306.65492871,269076,281,2020.76649168485,8,703206.091037846,5371357.061058362,POINT (703206.0910378461 5371357.061058362)
26328,2020-10-07T12:51:46.657001,5398032.803983584,-0.5008090185708207,50,1,12.785265577087877,668.85238154748,0.0,30,0,9,0.1690698885235244,204,0.9258629752862916,87310306.6566043,269198,281,2020.7664916849133,8,702797.2609547082,5373768.9326172825,POINT (702797.2609547082 5373768.932617282)
