x,y,h_mean
714601.3119,5352250.372,746.5932722
714187.4337,5354641.18,1114.543486
714598.5706,5352270.221,749.5907584
714184.7179,5354661.032,1117.405599
714182.0019,5354680.884,1120.649005
714179.3079,5354700.74,1122.843286
714590.452,5352329.782,751.6292228
714176.6357,5354720.598,1123.834811
714587.7709,5352349.639,751.5639048
714174.0006,5354740.461,1122.688794
714585.0999,5352369.497,751.2905185
714171.4038,5354760.329,1119.193233
714168.7777,5354780.193,1118.387112
714579.8572,5352409.227,747.9956694
714166.0578,5354800.045,1125.035084
714577.3224,5352429.104,741.5048658
714163.3065,5354819.892,1134.069475
714160.5469,5354839.739,1143.552307
714157.785,5354859.585,1152.937925
714569.6583,5352488.724,726.3695938
714155.0251,5354879.432,1161.830022
714152.3748,5354898.484,1169.818066
714149.5646,5354918.726,1176.979962
714561.8882,5352548.331,713.9934906
714146.7462,5354938.971,1184.272984
714559.337,5352568.205,705.2974506
714556.7934,5352588.08,696.0459374
714138.6898,5354996.492,1206.926716
714133.3248,5355034.807,1222.738006
714130.1905,5355057.359,1231.44667
714127.3614,5355077.888,1238.131993
714541.5629,5352707.335,651.6029881
714124.6773,5355097.744,1241.812771
714539.0407,5352727.213,645.7648283
714122.0149,5355117.604,1244.455716
714536.4182,5352747.078,647.0649721
714119.3433,5355137.462,1248.67834
714533.7829,5352766.941,648.9578378
710948.8186,5354615.829,1127.75845
714116.6462,5355157.317,1255.375765
714531.1495,5352786.804,650.1366195
710946.1519,5354635.688,1136.131052
714113.9547,5355177.173,1262.208757
714528.5133,5352806.667,650.652078
710943.4941,5354655.549,1142.615174
714525.8612,5352826.527,650.8381983
710940.8478,5354675.411,1145.894126
714108.6728,5355216.897,1270.415376
714523.184,5352846.385,651.8711333
710938.2091,5354695.275,1148.000851
714106.0715,5355236.764,1271.917599
714520.4612,5352866.237,655.9952443
714103.484,5355256.633,1271.581538
714517.7273,5352886.087,661.0025856
714100.8285,5355276.494,1275.674539
714514.9965,5352905.937,666.2400752
714098.1226,5355296.347,1282.26627
714512.2679,5352925.787,671.8078612
714095.4482,5355316.205,1285.715583
710925.0176,5354794.591,1166.068292
714092.7694,5355336.062,1287.848122
714090.0517,5355355.915,1290.804155
714084.6542,5355395.624,1292.853605
714493.5419,5353064.792,709.7737313
714076.7313,5355455.21,1287.282571
714490.9147,5353084.656,713.0570368
714074.0587,5355475.068,1290.379473
714063.6284,5355554.534,1297.458115
714061.0266,5355574.402,1299.336038
707719.6118,5354510.906,1368.808752
707716.9491,5354530.766,1380.960028
714053.0147,5355633.433,1320.228246
707714.272,5354550.625,1391.288767
707711.6081,5354570.486,1400.293957
707703.7774,5354630.089,1419.795694
714039.6512,5355733.267,1325.288057
707701.2265,5354649.964,1424.793465
714037.0116,5355753.129,1324.363884
707698.7264,5354669.846,1430.760587
707696.2856,5354689.737,1436.394231
707693.8571,5354709.628,1441.046728
714444.6819,5353422.137,835.4825695
714029.2815,5355812.742,1309.928236
714026.7385,5355832.617,1304.430599
714024.1681,5355852.488,1301.837865
714018.9972,5355892.227,1301.778708
714016.4845,5355912.107,1299.047086
714013.9903,5355931.988,1295.389716
714011.5236,5355951.873,1289.70908
714009.0654,5355971.76,1282.980356
714006.5806,5355991.643,1277.315557
707662.3259,5354948.013,1517.844579
713996.5003,5356071.155,1251.139598
713993.9003,5356091.023,1247.671417
