x,y,z
-120.1096654,48.29808544,787.9214199
-120.1053781,48.27645869,784.8325253
-120.1096939,48.29826461,799.8146955
-120.1054062,48.27663789,794.4036715
-120.1097227,48.29844377,813.9645361
-120.1097514,48.29862293,828.2517144
-120.1054611,48.27699636,809.4200297
-120.1097799,48.29880209,842.3463799
-120.1054883,48.27717562,816.8189195
-120.109808,48.29898129,853.8194994
-120.1098357,48.29916051,863.4028048
-120.1098639,48.29933971,874.9950549
-120.1098888,48.29949676,886.1313466
-120.1055978,48.27789259,849.5690153
-120.1056253,48.27807183,856.9989277
-120.1099481,48.29987731,904.4302009
-120.1056526,48.27825107,862.7945243
-120.1099759,48.30005652,911.5075242
-120.1056799,48.27843031,867.001609
-120.1100041,48.30023571,920.3102058
-120.1057073,48.27860955,871.7149026
-120.1100324,48.3004149,929.4377147
-120.1057353,48.27878876,878.6586263
-120.1100603,48.30059411,936.3652035
-120.1100876,48.30077336,940.0557605
-120.1101412,48.30113192,942.5134586
-120.1101681,48.30131119,945.4655557
-120.1106828,48.30471714,1016.098646
-120.1107106,48.30489636,1024.047429
-120.1107384,48.30507557,1031.549112
-120.1107666,48.30525477,1041.160123
-120.1107949,48.30543395,1051.705406
-120.1064509,48.28399171,643.7274971
-120.1108224,48.30561318,1059.437365
-120.1064781,48.28417097,648.7573629
-120.1108496,48.30579244,1065.705428
-120.1065052,48.28435023,653.1613678
-120.1108765,48.30597171,1071.421048
-120.1065326,48.28452947,660.5509548
-120.1109027,48.30614761,1078.024977
-120.1109294,48.30632807,1084.384197
-120.1065869,48.28488798,673.7889725
-120.1109558,48.30650961,1089.641761
-120.1066136,48.28506727,678.7363172
-120.1109817,48.30668895,1093.60299
-120.1066402,48.28524656,683.7741501
-120.1066668,48.28542585,688.9087263
-120.10672,48.28578443,699.4665165
-120.1110847,48.30740632,1102.198401
-120.1067468,48.28596372,705.7142681
-120.111111,48.30758564,1104.648024
-120.1111373,48.30776495,1106.786392
-120.1111635,48.30794427,1108.079619
-120.1111898,48.30812358,1109.188805
-120.1112162,48.30830289,1110.506607
-120.1112426,48.30848219,1112.312794
-120.1069095,48.28703926,746.5932722
-120.111269,48.30866149,1114.543486
-120.1069363,48.28721854,749.5907584
-120.1112955,48.30884079,1117.405599
-120.111322,48.30902008,1120.649005
