STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TUM,D,18,SNOW DP,,20190420,67,,INCHES
TUM,D,18,SNOW DP,,20190421,67,,INCHES
TUM,D,18,SNOW DP,,20190422,65,,INCHES
TUM,D,18,SNOW DP,,20190423,62,,INCHES
TUM,D,18,SNOW DP,,20190424,60,,INCHES
TUM,D,18,SNOW DP,,20190425,58,,INCHES
TUM,D,18,SNOW DP,,20190426,55,,INCHES
TUM,D,18,SNOW DP,,20190427,52,,INCHES
TUM,D,18,SNOW DP,,20190428,50,,INCHES
TUM,D,18,SNOW DP,,20190429,48,,INCHES
TUM,D,18,SNOW DP,,20190430,46,,INCHES
TUM,D,18,SNOW DP,,20190501,44,,INCHES
TUM,D,18,SNOW DP,,20190502,42,,INCHES
TUM,D,18,SNOW DP,,20190503,41,,INCHES
TUM,D,18,SNOW DP,,20190504,38,,INCHES
TUM,D,18,SNOW DP,,20190505,37,,INCHES
TUM,D,18,SNOW DP,,20190506,35,,INCHES
TUM,D,18,SNOW DP,,20190507,32,,INCHES
TUM,D,18,SNOW DP,,20190508,30,,INCHES
TUM,D,18,SNOW DP,,20190509,27,,INCHES
TUM,D,18,SNOW DP,,20190510,26,,INCHES
TUM,D,18,SNOW DP,,20190511,24,,INCHES
TUM,D,18,SNOW DP,,20190512,21,,INCHES
TUM,D,18,SNOW DP,,20190513,19,,INCHES
TUM,D,18,SNOW DP,,20190514,16,,INCHES
TUM,D,18,SNOW DP,,20190515,13,,INCHES
TUM,D,18,SNOW DP,,20190516,118,,INCHES
TUM,D,18,SNOW DP,,20190517,118,,INCHES
TUM,D,18,SNOW DP,,20190518,13,,INCHES
TUM,D,18,SNOW DP,,20190519,118,,INCHES
TUM,D,18,SNOW DP,,20190520,14,,INCHES
TUM,D,18,SNOW DP,,20190521,12,,INCHES
TUM,D,18,SNOW DP,,20190522,118,,INCHES
TUM,D,18,SNOW DP,,20190523,10,,INCHES
TUM,D,18,SNOW DP,,20190524,9,,INCHES
TUM,D,18,SNOW DP,,20190525,7,,INCHES
TUM,D,18,SNOW DP,,20190526,3,,INCHES
TUM,D,18,SNOW DP,,20190527,4,,INCHES
TUM,D,18,SNOW DP,,20190528,1,,INCHES
TUM,D,18,SNOW DP,,20190529,0,,INCHES
TUM,D,18,SNOW DP,,20190530,-1,,INCHES
TUM,D,18,SNOW DP,,20190531,1,,INCHES
TUM,D,18,SNOW DP,,20190601,1,,INCHES
TUM,D,18,SNOW DP,,20190602,1,,INCHES
TUM,D,18,SNOW DP,,20190603,1,,INCHES
TUM,D,18,SNOW DP,,20190604,1,,INCHES
TUM,D,18,SNOW DP,,20190605,1,,INCHES
TUM,D,18,SNOW DP,,20190606,1,,INCHES
TUM,D,18,SNOW DP,,20190607,1,,INCHES
TUM,D,18,SNOW DP,,20190608,2,,INCHES
TUM,D,18,SNOW DP,,20190609,1,,INCHES
TUM,D,18,SNOW DP,,20190610,1,,INCHES
TUM,D,18,SNOW DP,,20190611,2,,INCHES
TUM,D,18,SNOW DP,,20190612,2,,INCHES
TUM,D,18,SNOW DP,,20190613,2,,INCHES
TUM,D,18,SNOW DP,,20190614,2,,INCHES
TUM,D,18,SNOW DP,,20190615,0,,INCHES
TUM,D,18,SNOW DP,,20190616,1,,INCHES
TUM,D,18,SNOW DP,,20190617,1,,INCHES
TUM,D,18,SNOW DP,,20190618,-0,,INCHES
TUM,D,18,SNOW DP,,20190619,2,,INCHES
TUM,D,18,SNOW DP,,20190620,0,,INCHES
TUM,D,18,SNOW DP,,20190621,3,,INCHES
TUM,D,18,SNOW DP,,20190622,1,,INCHES
TUM,D,18,SNOW DP,,20190623,1,,INCHES
TUM,D,18,SNOW DP,,20190624,0,,INCHES
TUM,D,18,SNOW DP,,20190625,2,,INCHES
TUM,D,18,SNOW DP,,20190626,1,,INCHES
TUM,D,18,SNOW DP,,20190627,2,,INCHES
TUM,D,18,SNOW DP,,20190628,2,,INCHES
